Objects;Names
'obj386_g.png';feather
'obj388_g.png';typewriter
'obj389_g.png';toy helicopter
'obj390_g.png';candle
'obj391_g.png';socks
'obj392_g.png';steel barrel
'obj393_g.png';wireless phone
'obj394_g.png';snare drum
'obj396_g.png';comb
'obj397_g.png';yo-yo
'obj399_g.png';barbed wire
'obj400_g.png';recorder
'obj401_g.png';boots
'obj404_g.png';washer agitator
'obj407_g.png';scouring ball
'obj408_g.png';vase
'obj411_g.png';pinwheel
'obj412_g.png';pan
'obj413_g.png';lego
'obj414_g.png';umbrella
'obj415_g.png';wooden tray
'obj417_g.png';nail polish
'obj419_g.png';wicker jug
'obj420_g.png';jack
'obj421_g.png';cassette
'obj422_g.png';wooden spoon
'obj427_g.png';flask
'obj428_g.png';first-aid kit
'obj429_g.png';binocular case
'obj430_g.png';plate
'obj431_g.png';sharp disposal container
'obj436_g.png';cough syrup
'obj439_g.png';cuddly toy
'obj440_g.png';weight plates
'obj441_g.png';neck pillow
'obj450_g.png';handle bottle
'obj452_g.png';suitcase
'obj458_g.png';cat figurine
'obj462_g.png';soap dispenser
'obj469_g.png';surfboard
'obj471_g.png';tissue box
'obj479_g.png';dustpan
'obj482_g.png';toilet brush
'obj484_g.png';stapler
'obj487_g.png';pitcher
'obj489_g.png';brush
'obj490_g.png';envelope
'obj491_g.png';exerciser
'obj492_g.png';bikini top
'obj494_g.png';metal jack piece
'obj495_g.png';chainring diameter gauge
'obj496_g.png';dart
'obj497_g.png';hair side comb
'obj498_g.png';triangles
'obj501_g.png';wall box
'obj502_g.png';beanbag
'obj503_g.png';invoice pad
'obj505_g.png';coffee table
'obj506_g.png';pacifier 
'obj507_g.png';toy octopus
'obj508_g.png';violin
'obj511_g.png';carpet paddle
'obj517_g.png';hot-air ballon
'obj521_g.png';lightbulb
'obj522_g.png';ice cream scoop
'obj523_g.png';candle extinguisher
'obj524_g.png';Christmas tree ball
'obj528_g.png';drawing mannequin
'obj529_g.png';projector
'obj530_g.png';table bell
'obj532_g.png';safety goggles
'obj533_g.png';helmet
'obj536_g.png';grab handle
'obj542_g.png';bedpan
'obj543_g.png';dreidel
'obj544_g.png';socket
'obj545_g.png';shutter
'obj547_g.png';squeegee
'obj548_g.png';bow
'obj549_g.png';potholder
'obj550_g.png';light switch
'obj551_g.png';hygienic mask
'obj552_g.png';doorhandle
'obj553_g.png';ladle
'obj554_g.png';wallet
'obj556_g.png';pom-pom
'obj557_g.png';rope
'obj559_g.png';bathrobe
'obj560_g.png';scarf
'obj561_g.png';sleeping bag
'obj562_g.png';apron
'obj563_g.png';sleeping mask
'obj564_g.png';cd-player
'obj565_g.png';earplug
'obj570_g.png';tie
'obj571_g.png';piggy bank
'obj572_g.png';speaker
'obj574_g.png';wheelbarrow
'obj577_g.png';anvil
'obj578_g.png';bathmat
'obj580_g.png';bowtie
'obj581_g.png';brooch
'obj583_g.png';can opener
'obj584_g.png';cap
'obj586_g.png';mousepad
'obj587_g.png';pulley
'obj588_g.png';rim
